0,bus_idx,phase_str,slack_power_cap
0.00039130149437826796,131,[2],0.0006900332152142859
0.00034893350214429316,15,[1],0.0006529144024714779
0.005056206510120242,61,[1][2][3],0.005730422155487509
0.0011150900567037506,67,[1][2],0.0016849083259984736
0.0022303794919723823,108,[1][2][3],0.0030800679736837774
0.0005982932694181938,118,[3],0.0008749683443532967
0.005949556552971368,16,[1][2][3],0.006670898174612571
0.0005985068328843638,100,[2],0.0008786978797704407
0.0010737949738594491,40,[1][2][3],0.002001501356205331
0.0005259307147311773,21,[1][2],0.0011859130913823377
0.00024847330187507407,38,[1][2],0.0009883598957787694
0.0002495585315396546,46,[1][2],0.0009884777876809072
0.0,72,,0.0
0.0003487597003087995,83,[1],0.0006528023199266819
0.0003469952197524707,151,[1],0.0006514547044227882
0.001196700759798859,45,[1][2][3],0.0020991538716131236
0.0009890970299670269,68,[1][2][3],0.0019389018621394614
0.0043512938172914715,56,[1][2][3],0.005029315055284465
0.0005954765731504401,116,[3],0.0008759467742547705
0.0011842265340334687,128,[1][2][3],0.002156002099889988
0.00278308937450282,139,[1][2][3],0.0035681366815300897
0.00031142235466221404,145,[2],0.0006311922379631486
0.009964513963382805,36,[1][2][3],0.010646277994844869
0.000555713245626956,66,[3],0.0008330412060888026
0.0011970453414465276,76,[1][2][3],0.0020994841685799573
0.001287928504495839,95,[1][2][3],0.002175465070318938
0.002189749938833441,138,[1][2][3],0.0029999865548359515
0.0010756416748580841,85,[1][2][3],0.002002860956669874
0.000341074260051539,147,[1],0.0006470662118407401
0.0003137688477527028,135,[2],0.0006308125587993412
0.0012050304046692074,48,[1][2][3],0.0021082623747061997
0.0010771248467241951,18,[1][2],0.0016498081046564619
0.0012467032900346858,103,[2],0.0014571662907622112
0.00047353270538869736,30,[1][2],0.0011456193617574407
0.010413283019810081,3,[1][2][3],0.01109605607902723
